NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000078983;BCC DEL GARDA-BANCA DI CREDITO COOP COLLI MORENICI DEL GARDA SOC COOP;FASCILLA DOMENICO
D000511179;BCC DELLA CALABRIA ULTERIORE  -  SOC. COOP.;LOGOZZO ANTONELLA
D000027080;BCC DI ABRUZZI E MOLISE - SCARL;MASCIO LUIGI
D000070707;BCC FELSINEA - BANCA DI CREDITO COOPERATIVO DAL 1902 - SOCIETA' COOPERATIVA;BASSI ANDREA
D000027196;BCC G. TONIOLO E SAN MICHELE DI SAN CATALDO (CALTANISSETTA);CULICCHIA NICOLA
D000233765;BCC LEASING S.P.A.;PIERI FEDERICO
D000449829;BCC RENT&LEASE S.P.A.;CAMPANELLI ROBERTA
D000449829;BCC RENT&LEASE S.P.A.;CAVALIERE SARA
D000026977;BCC SAN GIOVANNI ROTONDO;DI BARTOLOMEO  EMILIO ANTONIO
D000027199;BCC TERRA D'OTRANTO;MELE TIZIANO
D000062125;BCC VENETA - CREDITO COOPERATIVO - SOCIETÀ COOPERATIVA;TURETTA ENRICO DAVIDE
D000062125;BCC VENETA - CREDITO COOPERATIVO - SOCIETÀ COOPERATIVA;VALLE MIRINO
D000027011;BDM BANCA SPA;SENAPE ANTONIO
D000060529;BENE BANCA CREDITO COOPERATIVO DI BENE VAGIENNA (CUNEO) SOCIETA' COOPERATIVA;BARRA SIMONE
D000496738;BLU BANCA SPA;GIALLATINI FABRIZIO
D000631593;BNL LEASING;SCHIAVO ANTONIO
D000200522;BNP PARIBAS LEASE GROUP SPA;DESGEANS PHILIPPE DENIS FRANCIS
D000200522;BNP PARIBAS LEASE GROUP SPA;PETTINELLI IACOPO
D000234270;BPCE EQUIPMENT FINANCE ITALIA S.P.A.;URQUIA GISELE
D000665002;BPCE EQUIPMENT SOLUTIONS ITALIA SPA;RINDI ANDREA
D000027105;BPER BANCA S.P.A.;MARTINELLI BARBARA
D000027105;BPER BANCA S.P.A.;SPOTTI SARA
