OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
382;A000172531;A000185539;Responsabile dell'attività di intermediazione;
383;A000179751;A000167259;Responsabile dell'attività di intermediazione;
384;A000010029;A000231667;Responsabile dell'attività di intermediazione;
385;A000165736;A000179160;Responsabile dell'attività di intermediazione;
386;A000317677;A000231930;Responsabile dell'attività di intermediazione;
387;A000153607;A000550330;Responsabile dell'attività di intermediazione;
388;B000119499;B000548638;Responsabile dell'attività di intermediazione;
389;A000084992;A000647231;Responsabile dell'attività di intermediazione;
390;A000734444;A000734817;Responsabile dell'attività di intermediazione;
391;A000667347;A000674005;Responsabile dell'attività di intermediazione;
392;A000253756;A000091492;Responsabile dell'attività di intermediazione;
393;A000072323;A000181525;Responsabile dell'attività di intermediazione;
394;A000133869;A000140116;Responsabile dell'attività di intermediazione;
395;A000055490;A000570417;Responsabile dell'attività di intermediazione;
396;A000052967;A000012982;Responsabile dell'attività di intermediazione;
397;A000124519;A000790508;Responsabile dell'attività di intermediazione;
398;A000146877;A000447215;Responsabile dell'attività di intermediazione;
399;B000006786;B000427706;Amministratore Delegato;
400;A000068443;A000290643;Responsabile dell'attività di intermediazione;
401;A000068443;A000637090;Responsabile dell'attività di intermediazione;
402;A000052561;A000327886;Responsabile dell'attività di intermediazione;
403;A000169867;A000159430;Responsabile dell'attività di intermediazione;
404;A000116540;A000081481;Responsabile dell'attività di intermediazione;
405;A000050156;A000187166;Responsabile dell'attività di intermediazione;
406;A000172575;A000451717;Responsabile dell'attività di intermediazione;
407;A000317043;A000137322;Responsabile dell'attività di intermediazione;
408;A000173830;A000181015;Responsabile dell'attività di intermediazione;
409;B000156037;B000014339;Responsabile dell'attività di intermediazione;
410;A000001375;A000012688;Responsabile dell'attività di intermediazione;
411;A000082356;A000082556;Responsabile dell'attività di intermediazione;
412;A000163118;A000138539;Responsabile dell'attività di intermediazione;
413;A000008686;A000630541;Responsabile dell'attività di intermediazione;
414;A000001373;A000599844;Responsabile dell'attività di intermediazione;
415;A000008140;A000066552;Responsabile dell'attività di intermediazione;
416;A000010114;A000012249;Responsabile dell'attività di intermediazione;
417;A000098582;A000318349;Responsabile dell'attività di intermediazione;
418;A000027585;A000368193;Responsabile dell'attività di intermediazione;
419;A000073741;A000385877;Responsabile dell'attività di intermediazione;
420;A000001822;A000011959;Responsabile dell'attività di intermediazione;
421;A000273161;A000103556;Responsabile dell'attività di intermediazione;
422;A000129629;A000287959;Responsabile dell'attività di intermediazione;
423;A000319825;A000342652;Responsabile dell'attività di intermediazione;
424;A000003752;A000373471;Responsabile dell'attività di intermediazione;
425;A000091241;A000772254;Responsabile dell'attività di intermediazione;
426;A000010047;A000059042;Responsabile dell'attività di intermediazione;
427;A000334121;A000748635;Responsabile dell'attività di intermediazione;
428;A000009619;A000265176;Responsabile dell'attività di intermediazione;
429;A000062955;A000634432;Responsabile dell'attività di intermediazione;
430;A000058640;A000485468;Responsabile dell'attività di intermediazione;
431;A000001624;A000187718;Responsabile dell'attività di intermediazione;
432;A000090533;A000090544;Responsabile dell'attività di intermediazione;
433;A000074077;A000075370;Responsabile dell'attività di intermediazione;
434;A000179177;A000224673;Responsabile dell'attività di intermediazione;
435;A000756751;A000312016;Responsabile dell'attività di intermediazione;
436;A000077909;A000187127;Responsabile dell'attività di intermediazione;
437;A000003240;A000331634;Responsabile dell'attività di intermediazione;
438;A000288535;A000067483;Responsabile dell'attività di intermediazione;
439;A000332228;A000709761;Responsabile dell'attività di intermediazione;
440;A000327785;A000011708;Responsabile dell'attività di intermediazione;
441;A000165733;A000179160;Responsabile dell'attività di intermediazione;
442;A000108881;A000107996;Responsabile dell'attività di intermediazione;
443;A000071394;A000154762;Responsabile dell'attività di intermediazione;
444;A000010065;A000012925;Responsabile dell'attività di intermediazione;
445;A000081054;A000464752;Responsabile dell'attività di intermediazione;
446;B000186564;B000180506;Responsabile dell'attività di intermediazione;
447;B000186622;B000066860;Rappresentante Legale;
448;B000010216;B000014431;Responsabile dell'attività di intermediazione;
449;B000010393;B000048943;Rappresentante Legale;
450;B000133131;B000114899;Responsabile dell'attività di intermediazione;
451;B000069035;B000066931;Responsabile dell'attività di intermediazione;
452;B000009458;B000058833;Responsabile dell'attività di intermediazione;
453;B000013652;B000014335;Responsabile dell'attività di intermediazione;
454;B000013612;B000014344;Responsabile dell'attività di intermediazione;
